"year","month","day","habitat","stateProvince","locality","decimalLatitude","decimalLongitude","scientificName","genus","subgenus","specificEpithet","elevation"
NA,NA,NA,"","Oaxaca","",17.338,-96.395,"Quercus laurina Bonpl.","Quercus",NA,"laurina",NA
NA,NA,NA,"","Oaxaca","",16.5055,-97.16194,"Quercus laurina Bonpl.","Quercus",NA,"laurina",NA
1988,7,13,"","Oaxaca","",16.1705,-96.50194,"Quercus laurina M.Martens & Galeotti","Quercus",NA,"laurina",NA
1988,7,13,"","Oaxaca","",16.1705,-96.50194,"Quercus laurina M.Martens & Galeotti","Quercus",NA,"laurina",NA
1989,7,12,"","Oaxaca","",16.16984,-96.50253,"Quercus laurina M.Martens & Galeotti","Quercus",NA,"laurina",NA
1988,7,13,"","Oaxaca","",16.1705,-96.50194,"Quercus laurina M.Martens & Galeotti","Quercus",NA,"laurina",NA
1840,11,1,"","Oaxaca","",18.85047,-97.10364,"Quercus insignis M.Martens & Galeotti","Quercus",NA,"insignis",NA
1845,1,1,"","Oaxaca","",17.36287,-96.24689,"Quercus candicans Née","Quercus",NA,"candicans",NA
1842,1,1,"","Oaxaca","",17.05942,-96.72162,"Quercus candicans Née","Quercus",NA,"candicans",NA
1840,11,1,"","Oaxaca","",17.80427,-96.3089,"Quercus candicans Née","Quercus",NA,"candicans",NA
1844,11,1,"","Oaxaca","",17.76491,-97.39707,"Quercus candicans Née","Quercus",NA,"candicans",NA
NA,NA,NA,"","Oaxaca","",17.23458,-96.42652,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
1995,4,NA,"","Oaxaca","Dto. Mixe, Ultimo punto del camino a Quetzaltepec, 2.5 km Al ESE de San Pedro",16.94861,-95.82306,"Quercus corrugata Hook.","Quercus",NA,"corrugata",1440
1986,5,31,"","Oaxaca","Dro. Mixe, First summit of mountain above (SE of) Ayutla",17.01667,-96.06667,"Quercus glabrescens Benth.","Quercus",NA,"glabrescens",2760
1992,9,NA,"","Oaxaca","Agua El Toro, al SE de San Miguel Suchixtepec, Dto. Miahuatlan",16.2,-95.95,"Quercus glabrescens Benth.","Quercus",NA,"glabrescens",1700
1984,10,30,"","Oaxaca","1 km al N de Congregacion Benito Juarez, ca. del Rio Portamonedas, ca. 39 km  en",16.725,-94.14167,"Quercus conspersa Benth.","Quercus",NA,"conspersa",900
1987,11,NA,"","Oaxaca","Dto. Juchitan, 28.3 km al E de Rodolfo Figueroa, camio a Trebol o Benito Juarez,",16.71667,-94.13333,"Quercus conspersa Benth.","Quercus",NA,"conspersa",NA
1986,5,31,"","Oaxaca","2.7 mi from center of San Mateo Cajonos on road to Villa Hidalgo Yalalag",17.16667,-96.2,"Quercus conspersa Benth.","Quercus",NA,"conspersa",1120
1978,5,20,"Pine-oak forest. (Bosque de pino-encino).","Oaxaca","Tlacuache",17.9,-97.46666,"Quercus magnoliifolia Née","Quercus",NA,"magnoliifolia",1.98
2001,10,1,"Bosque mesófilo de montaña. Area de vegetación perturbada.","Oaxaca","Brecha de San Antonio Eloxochitlan a San José Buenavista. Adelante del segundo puente",18.17806,-96.85822,"Quercus polymorpha Schltdl. & Cham.","Quercus",NA,"polymorpha",1320
2001,7,6,"Bosque de Quercus. Por la vereda.","Oaxaca","Vereda (antiguo camino real) del Plan de Guadalupe al Cerro Pelón",18.1355,-96.96339,"Quercus ocoteaefolia","Quercus",NA,"ocoteaefolia",2450
2001,6,6,"Bosque mesofilo de montaña. Vegetación secondaria derivada de bosque mesófilo de montaña.","Oaxaca","Vereda que parte de la cueva del Puente de Fierro y sube por la ladera E del cañada, en dirección a Sta. María Chilchotla",18.15344,-96.84972,"Quercus sartorii Botteri ex A.DC.","Quercus",NA,"sartorii",1250
2020,10,18,"","Oaxaca","",17.608002,-97.259999,"Quercus greggii (A.DC.) Trel.","Quercus",NA,"greggii",NA
2023,1,1,"","Oaxaca","",16.290505,-96.646706,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",NA
2022,4,2,"","Oaxaca","",16.294296,-96.636009,"Quercus crassifolia Bonpl.","Quercus",NA,"crassifolia",NA
2022,11,15,"","Oaxaca","",16.420691,-96.467064,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2022,10,24,"","Oaxaca","",17.152158,-96.731417,"Quercus castanea Née","Quercus",NA,"castanea",NA
2022,10,10,"","Oaxaca","",17.090772,-96.726639,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",NA
2021,9,5,"","Oaxaca","",17.090772,-96.726639,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",NA
2020,10,10,"","Oaxaca","",17.489537,-97.388718,"Quercus obtusata Bonpl.","Quercus",NA,"obtusata",NA
2020,11,30,"","Oaxaca","",17.572957,-97.371376,"Quercus laurina Bonpl.","Quercus",NA,"laurina",NA
2020,10,10,"","Oaxaca","",17.552286,-97.269417,"Quercus acutifolia Née","Quercus",NA,"acutifolia",NA
2020,10,10,"","Oaxaca","",17.483454,-97.375348,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",NA
2022,6,22,"","Oaxaca","",17.844594,-96.892902,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2020,10,2,"","Oaxaca","",17.486448,-97.388145,"Quercus castanea Née","Quercus",NA,"castanea",NA
2011,5,5,"","Oaxaca","Distrito: Miahuatlán, Municipio: San Juan Ozolotepec.",16.1233,-96.2664,"Quercus ocoteifolia Liebm.","Quercus",NA,"ocoteifolia",1970
1998,12,2,"","Oaxaca","Distrito: Juchitán, Municipio: Santa María Chimalapa. Camino a Punta Quetzal, por las cascadas, Benito Juárez, Zona Oriente, Chimalapas.",16.7211,-94.1878,"Quercus conspersa Benth.","Quercus",NA,"conspersa",1325
2000,3,5,"","Oaxaca","Distrito: Miahuatlán, Municipio: San Juan Ozolotepec. 5.8Km al S de Rancho Conejo (San Pedro Mixtepec) y 10.3Km al N de San Juan Ozolotepec.",16.1591,-96.2448,"Quercus ocoteaefolia","Quercus",NA,"ocoteaefolia",3010
2001,11,5,"","Oaxaca","Distrito: Ixtlán, Municipio: San Pedro Yolox. 2.67 km al SW de El Carrizal, Yolox, ladera Sur.",17.5333,-96.6588,"Quercus polymorpha Schltdl. & Cham.","Quercus",NA,"polymorpha",1507
2018,6,29,"","Oaxaca","",17.670423,-97.263632,"Quercus greggii (A.DC.) Trel.","Quercus",NA,"greggii",NA
2012,11,27,"","Oaxaca","",17.547905,-98.040563,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",NA
2012,11,14,"","Oaxaca","",17.517788,-97.88921,"Quercus magnoliifolia Née","Quercus",NA,"magnoliifolia",NA
2019,11,9,"","Oaxaca","",17.60786,-97.256467,"Quercus crassipes Bonpl.","Quercus",NA,"crassipes",NA
2012,11,16,"","Oaxaca","",17.558645,-97.875933,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2022,5,5,"","Oaxaca","",17.276154,-96.369716,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2022,3,11,"","Oaxaca","",17.276154,-96.369716,"Quercus glabrescens Benth.","Quercus",NA,"glabrescens",NA
2022,5,5,"","Oaxaca","",17.276154,-96.369716,"Quercus laurina Bonpl.","Quercus",NA,"laurina",NA
2022,3,21,"","Oaxaca","",17.080167,-96.883163,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2020,9,6,"","Oaxaca","",17.842485,-97.227468,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",NA
2020,10,9,"","Oaxaca","",17.488673,-97.38839,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2021,11,27,"","Oaxaca","",17.046725,-97.620699,"Quercus obtusata Bonpl.","Quercus",NA,"obtusata",NA
2022,1,21,"","Oaxaca","",17.084576,-96.737349,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",NA
2021,12,25,"","Oaxaca","",17.651694,-97.263194,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2022,1,2,"","Oaxaca","",16.297776,-96.650623,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",NA
2021,12,28,"","Oaxaca","",17.094223,-97.768339,"Quercus acutifolia Née","Quercus",NA,"acutifolia",NA
2020,10,2,"","Oaxaca","",17.554851,-97.387554,"Quercus grahamii Benth.","Quercus",NA,"grahamii",NA
2022,1,2,"","Oaxaca","",16.300952,-96.649199,"Quercus grahamii Benth.","Quercus",NA,"grahamii",NA
2022,1,2,"","Oaxaca","",16.296931,-96.649275,"Quercus magnoliifolia Née","Quercus",NA,"magnoliifolia",NA
2022,1,2,"","Oaxaca","",16.298388,-96.650935,"Quercus grahamii Benth.","Quercus",NA,"grahamii",NA
2021,10,30,"","Oaxaca","",16.300798,-96.63117,"Quercus magnoliifolia Née","Quercus",NA,"magnoliifolia",NA
2021,10,29,"","Oaxaca","",16.303404,-96.639908,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",NA
2021,8,15,"","Oaxaca","",17.149703,-97.623812,"Quercus crassifolia Bonpl.","Quercus",NA,"crassifolia",NA
2021,8,31,"","Oaxaca","",17.025278,-96.6825,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",NA
2020,10,10,"","Oaxaca","",17.046725,-97.620699,"Quercus laurina Bonpl.","Quercus",NA,"laurina",NA
1968,8,4,"","Oaxaca","3.5 km south-southwest of de magdalena jicotlan",17.80658,-97.47017,"Quercus castanea Née","Quercus",NA,"castanea",NA
2021,8,14,"","Oaxaca","",16.26726,-96.663939,"Quercus conzattii Trel.","Quercus",NA,"conzattii",NA
NA,NA,NA,"","Oaxaca","24 km NW Totolapan",16.766667,-96.3,"Quercus L.","Quercus",NA,"",NA
2013,5,1,"","Oaxaca","La Guacamaya, conglomerado 71205 del Inventario Nacional Forestal y de Suelos",17.51589,-96.6867,"Quercus acutifolia Née","Quercus",NA,"acutifolia",2085
2013,6,20,"","Oaxaca","Predio La Candelaria, Paraje San Matías, conglomerado 76864 del Inventario Nacional Forestal y de Suelos",16.1785,-95.8953,"Quercus conspersa Benth.","Quercus",NA,"conspersa",1471
2013,6,5,"","Oaxaca","Paraje la Chixao, Predio El Bajo, conglomerado 74748 del Inventario Nacional Forestal y de Suelos",16.76831,-97.2283,"Quercus ocoteifolia Liebm.","Quercus",NA,"ocoteifolia",2130
2013,4,30,"","Oaxaca","Cerro Luna, Sta. Cruz Teotilálpam, conglomerado 68901 del Inventario Nacional Forestal y de Suelos. Distrito Cuicatlán, Región Cañada",17.9701674,-96.6667975,"Quercus nixoniana S.Valencia & Lozada-Pérez","Quercus",NA,"nixoniana",NA
2013,9,30,"","Oaxaca","Paraje, Tamazulapan del Progreso. Predio, Yocondodo, conglomerado 70736 del Inventario Nacional Forestal y de Suelos",17.63727,-97.5753,"Quercus deserticola Trel.","Quercus",NA,"deserticola",2363
2013,6,15,"","Oaxaca","Predio Lachiglau, Paraje La Toma Sta Catarina Albarrada, conglomerado 73128 del Inventario Nacional Forestal y de Suelos",17.09822,-96.3244,"Quercus crassifolia Bonpl.","Quercus",NA,"crassifolia",2208
2013,7,14,"","Oaxaca","Sitio: Paraje, La Lagunita. Predio, Agua Paloma, conglomerado 74545 del Inventario Nacional Forestal y de Suelos (NAD 27)",16.8188,-97.3236,"Quercus splendens Née","Quercus",NA,"splendens",1900
1997,8,27,"Bosque de pino-encino (perturbado). Bosque en sucesión expuesto.","Oaxaca","Huautla de jiménes, Cerro del Fortín",18.11847,-96.8192,"Quercus elliptica Née","Quercus",NA,"elliptica",1900
2005,12,16,"","Oaxaca","Cuicatlán, Oaxaca. Paraje: Cañada del Águila. UTM 716010 1942862",17.561784,-96.964846,"Quercus L.","Quercus",NA,"",NA
2015,5,15,"","Oaxaca","As living fence post in ranchland along small path leading from Santa Maria Chimalapa towards Río Verde.",16.90158,-94.6822,"Quercus glaucescens Bonpl.","Quercus",NA,"glaucescens",267
2013,2,17,"Bosque Mesófilo de Montaña, suelo pardo, pendiente de 3°.","Oaxaca","'Tierra Agria'",18.21867,-96.9018,"Quercus pinnativenulosa C.H.Mull.","Quercus",NA,"pinnativenulosa",1881
2014,11,20,"Bosque de encino-pino, primaria, suelo negro con materia orgánica y hojarasca, pendiente de 40°","Oaxaca","Etnoregión Sierra Mixe (RTP-130). 'Tierra Caliente'",17.34981,-96.1404,"Quercus elliptica Née","Quercus",NA,"elliptica",938
2014,6,6,"","Oaxaca","A 2.41 km al SW de San Andrés Lagunas. Dto. Teposcolula. Región Mixteca",17.5555,-97.5344,"Quercus magnoliifolia Née","Quercus",NA,"magnoliifolia",2497
2007,8,NA,"","Oaxaca","A 21.9 km al NE de Tecomavaba rumbo a la Toma",17.99317,-96.9528,"Quercus castanea Née","Quercus",NA,"castanea",2021
2014,10,9,"Bosque de encino-pino, suelo negro con afloramientos rocosos, materia orgánica y hojarasca, pendiente de 15°.","Oaxaca","Etnoregión Sierra Norte (RTP-130). 'Tres Cruces'",17.28614,-96.4485,"Quercus conzattii Trel.","Quercus",NA,"conzattii",2093
2007,8,NA,"","Oaxaca","A 21.9 km al NE de Tecomavaca a la Toma",17.99317,-96.9528,"Quercus castanea Née","Quercus",NA,"castanea",2021
2012,5,1,"Selva baja caducifolia con petatillo, nance, copal colorado, copal aceitillo, en suelo amarillo","Oaxaca","Distrito: Yautepec. Camino a la Guía",16.43219,-95.9902,"Quercus L.","Quercus",NA,"",2057
2013,10,29,"Vegetación bosque de encino","Oaxaca","Paraje Cerro Yaabné; a 2.3km al SE (120 grados) de San Pablo Yaganiza. Dto. Villa Alta. Región Sierra Norte",17.1357,-96.2092,"Quercus castanea Née","Quercus",NA,"castanea",2038
2014,12,12,"Bosque de pino-encino, suelo pardo con materia orgánica y hojarasca, pendiente de 40°","Oaxaca","Etnoregión Sierra Mixe (RTP-130). 'Laguna-Loma de Gallo'",17.09006,-95.8259,"Quercus elliptica Née","Quercus",NA,"elliptica",965
2013,7,11,"Ecotono, Bosque Mesófilo de Montaña-Bosque de pino-encino","Oaxaca","Etnoregión Sierra Mixe (RTP-130). 'Picacho'",16.81631,-95.3873,"Quercus glaucescens Bonpl.","Quercus",NA,"glaucescens",1159
2014,12,12,"Bosque de encino, suelo negro con materia orgánica y hojarasca, pendiente de 25°","Oaxaca","Etnoregión Sierra Mixe (RTP-130). 'Ayuuk'",17.06533,-95.8568,"Quercus trinitatis Trel.","Quercus",NA,"trinitatis",1950
2014,10,9,"Bosque de pino-encino. Suelo negro con materia orgánica y hojarasca, pendiente de 5°","Oaxaca","Etnoregión Sierra Norte (RTP-130). Localidad 'El Quelite'",17.28714,-96.3826,"Quercus laurina Bonpl.","Quercus",NA,"laurina",2441
2008,7,10,"Bosque depino-encino con P. tenuifolia, Quercus sp., Oreopanax, xalapensis, Litsea","Oaxaca","El Cuachepil a 1.98 km en LR (N) de la Agencia de Independencia",16.70844,-97.6181,"Quercus splendens Née","Quercus",NA,"splendens",1686
2013,10,15,"Bosque de encino-pino, suelo pardo con matéria orgánica y hojarasca, pendiente de 30°.","Oaxaca","Etnoregión Cañada (RTP-121). 'Agua Conejo'",17.94267,-96.8289,"Quercus scytophylla Liebm.","Quercus",NA,"scytophylla",2061
2014,11,20,"Bosque de encino-pino, suelo pardo con materia orgánica y hojarasca, pendiente de 35°.","Oaxaca","Etnoregión Sierra Norte (RTP-130). 'Yacúa'",17.34811,-96.1287,"Quercus candicans Née","Quercus",NA,"candicans",1127
2013,11,16,"","Oaxaca","San Pablo Yaganiza. Dto. Villa Alta. Región Sierra Norte",17.11036,-96.221,"Quercus scytophylla Liebm.","Quercus",NA,"scytophylla",2027
2011,5,17,"","Oaxaca","Distrito: Tlacolula La Gocha del Rancho Jabalín",16.74325,-96.3122,"Quercus magnoliifolia Née","Quercus",NA,"magnoliifolia",1684
2014,12,17,"Bosque de pino-encino, suelo pardo con materia orgánica y hojarasca, pendiente de 40°","Oaxaca","Etnoregión Sierra Mixe (RTP-130) 'Agencia de Maguey'",17.04475,-96.0324,"Quercus acatenangensis Trel.","Quercus",NA,"acatenangensis",1795
2005,11,10,"","Oaxaca","3 KM NE DSVIACIÓN A SAN ANDRÉS HUAYAPAN",17.10892,-96.636,"Quercus castanea Née","Quercus",NA,"castanea",1789
1997,3,25,"Bosque mesófilo de montaña, Asociación Pinus pringlei-Quercus martinezii Topografía Ladera alta, NE. Pend. Pronunciada, Sustrato Gneis Arcillosa-Limosa, Erosión Hídrica","Oaxaca","NE SAN JERONIMO COATLAN.",16.20518,-96.9077,"Quercus martinezii C.H.Mull.","Quercus",NA,"martinezii",2060
2011,7,22,"Bosque de pino-encino, sobre cerro","Oaxaca","Distrito: Etla, El Tepehuaje",17.06831,-96.9026,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",1917
2005,8,10,"Selva mediana subperennifolia. cafetal rusticano con Clethra sp., Quercus.","Oaxaca","Distrito: Ixtlán. Paraje Yaa do, 2 km al S en LR de SAnta Cruz Yagavila, cerca de las colindancias con Zoogochi.",17.42339,-96.3275,"Quercus oleoides Schltdl. & Cham.","Quercus",NA,"oleoides",675
2010,8,19,"Bosque de encino-selva baja caducifolia, sobre cerro en suelo arenoso","Oaxaca","Distrito: Yautepec. El guajal",16.25058,-95.87811,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",1157
2006,6,1,"","Oaxaca","San Antonio Cuajimoloyas",17.14167,-96.44,"Quercus crassifolia Bonpl.","Quercus",NA,"crassifolia",3040
2005,12,14,"","Oaxaca","Cuicatlán. Paraje: Cerro Veinte. UTM: 717007, 1942049",17.55433,-96.9555,"Quercus castanea Née","Quercus",NA,"castanea",NA
2015,1,17,"Bosque de encino-pino, suelo pardo, pendiente de 65°.","Oaxaca","Etnoregión Sierra Norte (RTP-130). 'Yauye sild'",17.12142,-96.2154,"Quercus polymorpha Schltdl. & Cham.","Quercus",NA,"polymorpha",1692
2013,10,28,"","Oaxaca","San Pablo Yaganiza. Dto. Villa Alta. Región Sierra Norte",17.1279,-96.242,"Quercus scytophylla Liebm.","Quercus",NA,"scytophylla",2125
2012,9,30,"","Oaxaca","Santiago Apoala. Dto. Nochixtlán. Paraje Ratón, a 3.5 km al NW de Santiago Apoala",17.66833,-97.1619,"Quercus crassifolia Bonpl.","Quercus",NA,"crassifolia",2100
2011,9,29,"","Oaxaca","Distrito Yautepec, Camino a río San Pedro",16.25272,-96.02939,"Quercus castanea Née","Quercus",NA,"castanea",2160
2008,5,25,"","Oaxaca","San JUan Teponaxtla, camino del Pueblo hacia Río Grande pasando por Río Chiquito",17.70361,-96.72194,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",1903
2011,7,28,"","Oaxaca","Distrito: Etla, Desviación al Negro",17.04717,-96.91019,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",2098
2012,5,14,"","Oaxaca","Predio Cerro Chato",16.31664,-95.98236,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",1328
2009,7,23,"Selva baja caducifolia. Suelo negro","Oaxaca","Cerro Ocote Sambo",16.51261,-96.10911,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",954
2012,5,11,"","Oaxaca","Mango Seco",16.79694,-95.58667,"Quercus polymorpha Schltdl. & Cham.","Quercus",NA,"polymorpha",885
2012,10,18,"","Oaxaca","Cruz de Tabla, Viva México. Distrito Nochixtlán, Región Mixteca",17.57122,-97.36778,"Quercus crassifolia Bonpl.","Quercus",NA,"crassifolia",2672
1993,9,13,"","Oaxaca","4 km SE del Ixtlán de Juárez",17.32389,-96.46444,"Quercus peduncularis Née","Quercus",NA,"peduncularis",1710
2012,8,4,"Vegetación secundaria de bosque de Quercus con Quercus, Juniperus, Habenaria, Eryngium y gramíneas. Área de cárcavas. Sitio abierto; suelo rojo, arcilloso.","Oaxaca","Tooxi, cerca del tanque de agua. Dto. Nochistlán",17.56717,-97.3772,"Quercus grahamii Benth.","Quercus",NA,"grahamii",2515
2012,8,5,"","Oaxaca","Yerba Santa",17.00206,-96.18789,"Quercus crassifolia Bonpl.","Quercus",NA,"crassifolia",2155
2012,7,6,"Bosque de Pino-Encino alterado","Oaxaca","Las Cuevas. Distrito Silacayoapam, Región Mixteca",17.74678,-98.28006,"Quercus urbani Trel.","Quercus",NA,"urbani",1820
2012,7,30,"","Oaxaca","El Rodeo",17.07986,-95.90542,"Quercus candicans Née","Quercus",NA,"candicans",1505
2002,10,4,"","Oaxaca","3 km al E de Santo Domíngo Tomaltepec 14 Q 756856 UTM 1887403",17.056594,-96.58679,"Quercus castanea Née","Quercus",NA,"castanea",2050
2009,7,27,"Selva baja caducifolia","Oaxaca","Cerro Brasil a 10 m de Cerro Coyul",16.49281,-96.09078,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",947
2007,10,10,"Bosque de pino-encino. Con P. oaxacana, P. leiophylla, Rhus, Oareopanax, Leguminosas.","Oaxaca","Distrito: Putla, La Era, a 254 km en LR (68°) de Santa Cruz Itundija",16.88056,-97.63778,"Quercus liebmannii Oerst. ex Trel.","Quercus",NA,"liebmannii",2219
2012,7,23,"Bosque de Pino-Encino","Oaxaca","Lechhipe.",17.27647,-96.275,"Quercus scytophylla Liebm.","Quercus",NA,"scytophylla",2242
2006,6,13,"","Oaxaca","Distrito Sola de Vega. Rancho del Difunto Pancho",16.69989,-97.42747,"Quercus resinosa Liebm.","Quercus",NA,"resinosa",1509
2012,5,10,"Bosque de encino","Oaxaca","El Tejón",16.26792,-95.89181,"Quercus conspersa Benth.","Quercus",NA,"conspersa",1405
2009,7,24,"Bosque de pino-encino, con Byrsonima, Arbutus, asteraceas.","Oaxaca","El Portillo de Nejapa a 200 m de la colindancia con San Juan Lajarcia.",16.54861,-95.9485,"Quercus conspersa Benth.","Quercus",NA,"conspersa",1296
2011,5,5,"","Oaxaca","Distrito Miahuatlán.",16.12328,-96.26636,"Quercus candicans Née","Quercus",NA,"candicans",1970
2005,7,12,"","Oaxaca","Imperio Santiago Yosondúa, Cerro de Yucuntusu. Distrito Tlaxiaco, Región Mixteca",16.91389,-97.62825,"Quercus castanea Née","Quercus",NA,"castanea",2323
2007,6,22,"","Oaxaca","Distrito Putla; Zaragoza, 840 m NW, entre el río y la brecha a Putla",16.67536,-97.79694,"Quercus elliptica Née","Quercus",NA,"elliptica",1729
2009,4,24,"Bosque de pino, sobre cerro","Oaxaca","Camino al Río. Distrito Miahuatlán, Región Sierra Sur",16.18183,-96.29067,"Quercus crassipes Bonpl.","Quercus",NA,"crassipes",2980
2007,1,31,"","Oaxaca","A 500 m al NE de la Trituradora de Piedra (SSS); brecha limite. Sierra Norte.",17.32028,-96.47778,"Quercus urbani Trel.","Quercus",NA,"urbani",2102
2006,4,1,"","Oaxaca","La mojonera del toche colindancia con San Lorenzo Papalo, San Juan Coyula, Cañada",17.91939,-96.8719,"Quercus obtusata Bonpl.","Quercus",NA,"obtusata",2068
2006,3,29,"","Oaxaca","San Juan Coyula. A 100 m de la brecha de Coyula a San Isidro Buenos Aires. Región: Cañada",17.91019,-96.9174,"Quercus acutifolia Née","Quercus",NA,"acutifolia",1441
2007,1,30,"","Oaxaca","Capulalpam de Méndez. Región Sierra Norte. Paraje La Cueva, rumbo al embudo",17.31244,-96.37678,"Quercus L.","Quercus",NA,"",2402
2008,7,31,"","Oaxaca","Camino a Iturbide por el Carrizal, a 2.26 LR (SE) de la Agencia de Buena Vista",16.705,-97.595,"Quercus acutifolia Née","Quercus",NA,"acutifolia",2381
2006,7,18,"","Oaxaca","Dto. Sola de Vega. Sureste de Tierra de Yunta, camino a Recibimiento de Cuauhtemoc.",16.772,-97.28903,"Quercus elliptica Née","Quercus",NA,"elliptica",2340
2007,3,1,"Bosque de pino secundario, con Clethra, Quercus, Vismia, Persea, myrtaceas. Suelo profundo","Oaxaca","Distrito: Tehuantepec; Vereda al Aserradero, a 1.2 km en LR (101°N) de EL Porvenir",16.7325,-95.51025,"Quercus cortesii Liebm.","Quercus",NA,"cortesii",1420
2009,10,3,"","Oaxaca","santa catarina lachatao",17.18444,-96.46056,"Quercus glabrescens Benth.","Quercus",NA,"glabrescens",2762
2012,3,27,"Selva baja caducifolia con copal colorado, encino negro, nanche, chilillo en suelo amarillo pedregosoco.","Oaxaca","Distrito: Yautepec. La Cuevita.",16.44572,-95.95169,"Quercus L.","Quercus",NA,"",909
2012,7,26,"","Oaxaca","Yalagua",17.36481,-96.21967,"Quercus conspersa Benth.","Quercus",NA,"conspersa",1184
2012,7,19,"","Oaxaca","Llano Conejo.",16.865,-96.14633,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",1460
2012,8,7,"","Oaxaca","Cerro Yari Grande.",17.01956,-96.65678,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",1965
1998,11,18,"","Oaxaca","",17.52444,-96.28611,"Quercus glaucescens Bonpl.","Quercus",NA,"glaucescens",550
2009,7,24,"","Oaxaca","Distrito San Carlos Yautepec. El Portillo de Nejapa, a 200 m. de la colindancia con San Juan Lajarcia.",16.54861,-95.9485,"Quercus conspersa Benth.","Quercus",NA,"conspersa",NA
