"year","month","day","habitat","stateProvince","locality","decimalLatitude","decimalLongitude","genus","subgenus","specificEpithet","elevation","interest"
2022,4,30,"","Chiapas","",16.683058,-92.602036,"Quercus",NA,"rugosa",NA,"no"
2022,5,1,"","Chiapas","",16.73205,-92.603531,"Quercus",NA,"rugosa",NA,"no"
2022,4,30,"","Chiapas","",16.734379,-92.602951,"Quercus",NA,"rugosa",NA,"no"
2022,4,30,"","Chiapas","",16.681305,-92.599586,"Quercus",NA,"ocoteifolia",NA,"no"
2022,4,30,"","Chiapas","",16.681987,-92.600412,"Quercus",NA,"crispipilis",NA,"no"
2022,4,30,"","Chiapas","",16.682949,-92.604529,"Quercus",NA,"rugosa",NA,"no"
2022,5,7,"","Chiapas","",16.720088,-92.660135,"Quercus",NA,"sebifera",NA,"no"
2022,4,30,"","Chiapas","",16.681734,-92.600273,"Quercus",NA,"rugosa",NA,"no"
2022,5,7,"","Chiapas","",16.720088,-92.660135,"Quercus",NA,"crassifolia",NA,"no"
2022,4,7,"","Chiapas","",16.72086,-92.659426,"Quercus",NA,"sebifera",NA,"no"
2022,3,24,"","Chiapas","",16.705522,-92.614652,"Quercus",NA,"sebifera",NA,"no"
2022,4,6,"","Chiapas","",16.660355,-92.696545,"Quercus",NA,"insignis",NA,"insignis"
2022,4,6,"","Chiapas","",16.705448,-92.614613,"Quercus",NA,"sebifera",NA,"no"
2004,3,24,"Bosque de Quercus-Liquidambar","Chiapas","Ejido Tierra y Libertad",16.231944,-93.870833,"Quercus",NA,"elliptica",1400,"no"
2004,7,7,"","Chiapas","Municipio Villaflores. Bosque de Quercus. Árbol de 7 m con fruto verde.",16.232262,-93.274526,"Quercus",NA,"peduncularis",1033,"no"
2004,7,17,"","Chiapas","Reserva de la Biosfera La Sepultura",16.327778,-93.578056,"Quercus",NA,"peduncularis",600,"no"
2004,3,22,"","Chiapas","Ejido Tierra y Libertad",16.24272,-93.69703,"Quercus",NA,"elliptica",1920,"no"
2004,7,11,"","Chiapas","6 km al oeste de Los Veg",18.248333,-93.686389,"Quercus",NA,"peduncularis",1082,"no"
2004,3,22,"","Chiapas","Ejido Tierra y Libertad",16.374722,-93.8425,"Quercus",NA,"conspersa",1920,"no"
2004,7,8,"","Chiapas","Rancho La Cabaña",16.383333,-93.967222,"Quercus",NA,"peduncularis",950,"no"
2004,7,13,"","Chiapas","Ejido Sierra Morena",16.145,-93.593611,"Quercus",NA,"elliptica",1280,"no"
2021,12,27,"","Chiapas","",16.722313,-92.661086,"Quercus",NA,"sebifera",NA,"no"
2021,11,12,"","Chiapas","",16.658814,-92.601301,"Quercus",NA,"rugosa",NA,"no"
2021,11,6,"","Chiapas","",16.759314,-92.632339,"Quercus",NA,"rugosa",NA,"no"
2021,11,12,"","Chiapas","",16.658126,-92.601886,"Quercus",NA,"castanea",NA,"no"
2021,10,7,"","Chiapas","",16.981465,-93.02652,"Quercus",NA,"purulhana",NA,"no"
2021,10,5,"","Chiapas","",16.653628,-92.549585,"Quercus",NA,"rugosa",NA,"no"
2021,9,26,"","Chiapas","",16.720088,-92.660135,"Quercus",NA,"rugosa",NA,"no"
2021,9,26,"","Chiapas","",16.720088,-92.660135,"Quercus",NA,"crassifolia",NA,"no"
2021,9,16,"","Chiapas","",16.720088,-92.660135,"Quercus",NA,"rugosa",NA,"no"
2021,9,3,"","Chiapas","",16.714519,-92.664539,"Quercus",NA,"acatenangensis",NA,"no"
2021,9,2,"","Chiapas","",16.732613,-92.646881,"Quercus",NA,"dysophylla",NA,"no"
2021,8,15,"","Chiapas","",16.719325,-92.660639,"Quercus",NA,"rugosa",NA,"no"
2021,7,27,"","Chiapas","",16.720088,-92.660135,"Quercus",NA,"rugosa",NA,"no"
1987,5,5,"Lower slope","Chiapas","On incomplete road on hills above Unión Juárez",15.095833,-92.084722,"Quercus",NA,"lancifolia",950,"lancifolia"
1970,6,21,"NO DISPONIBLE","Chiapas","Between San Cristóbal de Las Casas and Tzontehuitz, 10 km NE from San Cristóbal de Las Casas",16.766667,-92.583333,"Quercus",NA,"rugosa",1500,"no"
1988,5,3,"Ridge","Chiapas","SE slope of cerro Baúl",16.716667,-93.716667,"Quercus",NA,"scytophylla",925,"no"
1986,12,9,"Slope","Chiapas","8 km NE of La Soledad along road from Las Margaritas to Campo Alegre",16.527778,-91.801389,"Quercus",NA,"segoviensis",800,"no"
1976,8,3,"Steep canyon","Chiapas","Below Navenchauc",16.722222,-92.786111,"Quercus",NA,"segoviensis",1100,"no"
1964,7,14,"Slope","Chiapas","Mahben Chauk, above Habenal along the Ala Shashib river",16.883333,-92.466667,"Quercus",NA,"peduncularis",530,"no"
1971,9,9,"Riparian woods","Chiapas","9 km N of Jitotol",17.116667,-92.866667,"Quercus",NA,"polymorpha",850,"no"
1988,6,7,"Streambank","Chiapas","5 km SW of Jitotol",17.038889,-92.875,"Quercus",NA,"insignis",850,"insignis"
1984,12,27,"BOSQUE PERTURBADO","Chiapas","58 km al SE de San Cristóbal de Las Casas y 23 km al SSE de Teopisca sobre carr. 190",16.461111,-92.283333,"Quercus",NA,"crispipilis",1050,"no"
1982,2,25,"Ridge","Chiapas","Above Rayón along road to Pantepec and Tapalapa",17.1875,-93.052778,"Quercus",NA,"lancifolia",775,"lancifolia"
1983,11,19,"Ridge","Chiapas","Just N of Finca Cuxtepec",15.747222,-92.966667,"Quercus",NA,"sapotifolia",650,"no"
1976,11,15,"Moist slope","Chiapas","Near Chalchihuitán center",16.963889,-92.618056,"Quercus",NA,"peduncularis",725,"no"
1988,5,21,"Ridge","Chiapas","N of Coapilla towards Ocotepec and Tapalapa",17.151389,-93.156944,"Quercus",NA,"cortesii",850,"no"
1971,12,11,"Large pond close to marsh","Chiapas","E side of Pueblo Nuevo Solistahuacán",17.163889,-92.886111,"Quercus",NA,"sapotifolia",850,"no"
1986,11,4,"Steep slope","Chiapas","5 km W of Motozintla on road to Huixtla",15.331944,-92.266667,"Quercus",NA,"peduncularis",880,"no"
1986,11,5,"Ridge","Chiapas","7 km SW of El Rosario along road to Ojo de Agua and Niquivil",15.3,-92.297222,"Quercus",NA,"segoviensis",885,"no"
1986,11,NA,"Slope","Chiapas","11 km SW of Frontera Comalapa along road to Motozintla",15.55,-92.133333,"Quercus",NA,"peduncularis",395,"no"
1983,11,14,"Ridge","Chiapas","16 km NW Rizo de Oro along logging road to Col. Figueroa, SE of Cerro Baúl on the border with Oaxaca",16.552778,-94.180556,"Quercus",NA,"salicifolia",700,"no"
1977,7,NA,"Pasture covered with shrubs","Chiapas","5 km N of Ocozocoautla on gravel road to Apicpac",16.816667,-93.416667,"Quercus",NA,"sapotifolia",450,"no"
1974,10,11,"Slopes","Chiapas","4 km above Jaltenango, along road to Finca Prusia",15.840278,-92.758333,"Quercus",NA,"skinneri",375,"skinneri"
1988,6,7,"Streambank","Chiapas","5 km SW of Jitotol",17.038889,-92.875,"Quercus",NA,"insignis",850,"insignis"
1986,11,5,"Ridge","Chiapas","Above El Rosario along road from Motozintla to Huixtla",15.325,-92.291667,"Quercus",NA,"lancifolia",850,"lancifolia"
1988,6,7,"Streambank","Chiapas","5 km SW of Jitotol",17.038889,-92.875,"Quercus",NA,"insignis",850,"insignis"
1979,9,NA,"Slope","Chiapas","5 km E Rizo de Oro on road to La Mina microwave station near Mex 190",16.466667,-94.033333,"Quercus",NA,"peduncularis",495,"no"
1973,3,3,"Dry slope","Chiapas","60 km NW of Soyaló above Copainalá",17.101389,-93.218056,"Quercus",NA,"polymorpha",250,"no"
1988,5,6,"Sandstone bluffs","Chiapas","9 km N of Ocozocoautla along road to Malpaso",16.833333,-93.416667,"Quercus",NA,"elliptica",540,"no"
1988,5,21,"Ridge","Chiapas","N of Coapilla towards Ocotepec and Tapalapa",17.151389,-93.156944,"Quercus",NA,"vicentensis",850,"no"
1983,11,18,"Steep slope","Chiapas","23 km E of Tierra y Libertad on road to Villaflores",16.415278,-93.715278,"Quercus",NA,"acutifolia",350,"no"
1964,11,17,"Slope","Chiapas","3 km N of hwy 190 along the old road to Huistán",16.673611,-92.522222,"Quercus",NA,"rugosa",1150,"no"
1965,7,12,"Steep slope","Chiapas","Above Tenejapa center on road to San Cristóbal de Las Casas",16.813889,-92.502778,"Quercus",NA,"crassifolia",1100,"no"
1988,4,30,"Summit","Chiapas","Cerro Muktavits (cerro Huitepec)",16.741667,-92.688889,"Quercus",NA,"skutchii",1300,"no"
1971,11,5,"Steep walled ravine and sandstone bluffs","Chiapas","3 km N of Ocozocoautla de Espinosa along road to Malpaso",16.791667,-93.388889,"Quercus",NA,"oleoides",450,"no"
1965,7,14,"Slope","Chiapas","Kulak'tik",16.866667,-92.477778,"Quercus",NA,"xalapensis",850,"no"
1986,11,7,"Steep slope","Chiapas","NE of Cerro Boquerón on road from El Rosario to Niquivil",15.243056,-92.319444,"Quercus",NA,"laurina",1150,"no"
1988,9,24,"Ridge","Chiapas","Tres Lagunas, on road from Comitán to Villa Las Rosas (Lagunas Grandes?)",16.416667,-92.266667,"Quercus",NA,"crispipilis",1050,"no"
1983,11,18,"ravine","Chiapas","NE side of cerro Tres Picos near Tres Picos",16.233333,-93.586111,"Quercus",NA,"xalapensis",500,"no"
1983,11,19,"Ridge","Chiapas","Just N of Finca Cuxtepec",15.747222,-92.966667,"Quercus",NA,"peduncularis",650,"no"
1962,9,14,"Forest clearing","Chiapas","3 km N of Pueblo Nuevo Solistahuacán",17.183333,-92.883333,"Quercus",NA,"crispipilis",900,"no"
1971,9,NA,"Slope with transitional forest","Chiapas","3 km NW of Pueblo Nuevo Solistahuacán in the vicinity of Clínica Yerba Buena",17.186111,-92.902778,"Quercus",NA,"benthamii",900,"no"
1983,11,13,"Steep canyon and crest of ridge","Chiapas","La Mina microwave station",16.238889,-93.897222,"Quercus",NA,"",500,"no"
1965,10,2,"Steep slope along the river","Chiapas","Río Chik Há, Matsab, Barrio de Yashanal",16.780556,-92.488889,"Quercus",NA,"rugosa",1200,"no"
1976,8,16,"Second growth slope","Chiapas","Chiquinivalvo",16.708333,-92.85,"Quercus",NA,"elliptica",750,"no"
1981,9,14,"Ridge","Chiapas","23 km W of Las Cruces along road to La Mina microwave station",16.463889,-94.022222,"Quercus",NA,"segoviensis",450,"no"
1964,7,30,"Slope","Chiapas","SW side of cerro Tzontehuitz",16.825,-92.591667,"Quercus",NA,"crassifolia",1325,"no"
1988,5,21,"Ridge","Chiapas","N of Coapilla towards Ocotepec and Tapalapa",17.151389,-93.156944,"Quercus",NA,"vicentensis",850,"no"
1969,6,NA,"NO DISPONIBLE","Chiapas","16 km S of Teopisca",16.4,-92.383333,"Quercus",NA,"segoviensis",1050,"no"
1972,12,28,"Steep slopes","Chiapas","48 km NE of Huixtla along road to Motozintla",15.334722,-92.252778,"Quercus",NA,"lancifolia",950,"lancifolia"
1983,11,13,"Steep canyon and crest of ridge","Chiapas","La Mina microwave station",16.238889,-93.897222,"Quercus",NA,"segoviensis",500,"no"
1986,11,5,"Ridge","Chiapas","7 km SW of El Rosario along road to Ojo de Agua and Niquivil",15.3,-92.297222,"Quercus",NA,"lancifolia",885,"lancifolia"
1980,12,1,"Slope","Chiapas","Near La Ciénega de León on the Oaxaca-Chiapas border",16.669444,-93.875,"Quercus",NA,"candicans",575,"no"
1988,5,9,"Steep walled canyon","Chiapas","Between Finca Cuxtepeque and Finca Cabañas",15.747222,-92.969444,"Quercus",NA,"cortesii",550,"no"
1965,1,18,"Slope","Chiapas","8 km NE of Soyaló on road to Bochil",16.916667,-92.9,"Quercus",NA,"segoviensis",750,"no"
1981,8,9,"NO DISPONIBLE","Chiapas","Near Carmen Xhan and the ruins of Chinkultik",16.133333,-91.783333,"Quercus",NA,"peduncularis",762.5,"no"
1965,10,10,"Steep slope","Chiapas","Banabil",16.783333,-92.513889,"Quercus",NA,"laurina",1200,"no"
1986,11,6,"Steep slope","Chiapas","11 km SW of Ojo de Agua along road to El Rosario and Niquivil",15.45,-92.3,"Quercus",NA,"candicans",915,"no"
1986,11,7,"Steep slope","Chiapas","NE of Cerro Boquerón on road from El Rosario to Niquivil",15.243056,-92.319444,"Quercus",NA,"salicifolia",1150,"no"
1988,5,24,"Slope","Chiapas","Cinco Lagunas, Lagos de Montebello",16.097222,-91.666667,"Quercus",NA,"sapotifolia",800,"no"
1980,10,25,"Open wet Savanna","Chiapas","8 km N of Palenque along road to Catazajá",17.55,-92.016667,"Quercus",NA,"oleoides",100,"no"
1988,9,NA,"Rocky slope","Chiapas","El Chorreadero",16.758333,-92.966667,"Quercus",NA,"polymorpha",400,"no"
1991,11,7,"Steep slope along ridge","Chiapas","Ridge S of cerro Baúl",16.716667,-93.716667,"Quercus",NA,"sapotifolia",690,"no"
1976,8,8,"NO DISPONIBLE","Chiapas","On road to San Lucas Zapotal, 3 km from hwy 190",16.713889,-92.691667,"Quercus",NA,"rugosa",1150,"no"
1983,11,18,"ravine","Chiapas","NE side of cerro Tres Picos near Tres Picos",16.233333,-93.586111,"Quercus",NA,"xalapensis",500,"no"
1984,11,5,"Rocky slope","Chiapas","SW of La Soledad on road to Las Margaritas",16.494444,-91.516667,"Quercus",NA,"crispipilis",750,"no"
1986,12,8,"Broad ridge","Chiapas","Third ridge along logging road from Las Margaritas to Campo Alegre",16.491667,-91.809722,"Quercus",NA,"bumelioides",1150,"bumelioides"
1984,11,5,"Broad ridge","Chiapas","Third ridge along logging road from Las Margaritas to Campo Alegre",16.491667,-91.809722,"Quercus",NA,"bumelioides",1150,"bumelioides"
1983,11,14,"Ridge","Chiapas","SE cerro Baúl, 14 km NW Rizo de Oro along road to Rodulfo Figueroa",16.541667,-94.166667,"Quercus",NA,"",750,"no"
1986,11,4,"Steep slope","Chiapas","5 km W of Motozintla on road to Huixtla",15.331944,-92.266667,"Quercus",NA,"acutifolia",880,"no"
1976,8,3,"Steep canyon","Chiapas","Below Navenchauc",16.722222,-92.786111,"Quercus",NA,"skutchii",1100,"no"
1988,11,NA,"Slopes near crest of ridge","Chiapas","30 km ESE of Tierra y Libertad on road to Agrónomos Mexicanos",16.383333,-93.783333,"Quercus",NA,"",585,"no"
1957,8,NA,"Dry rocky hill","Chiapas","Amatenango del Valle",16.530556,-92.45,"Quercus",NA,"acutifolia",900,"no"
1988,9,22,"NO DISPONIBLE","Chiapas","Head of La Chacona canyon between Tuxtla and San Fernando",16.8,-93.166667,"Quercus",NA,"segoviensis",425,"no"
1983,11,14,"Ridge","Chiapas","SE cerro Baúl, 14 km NW Rizo de Oro along road to Rodulfo Figueroa",16.541667,-94.166667,"Quercus",NA,"sapotifolia",750,"no"
1945,4,20,"Cutover slope rocky limestone canyon","Chiapas","3 km E of San Cristóbal de Las Casas",16.722222,-92.775,"Quercus",NA,"crispipilis",1200,"no"
1983,11,13,"Steep canyon and crest of ridge","Chiapas","La Mina microwave station",16.238889,-93.897222,"Quercus",NA,"elliptica",500,"no"
1980,10,21,"NO DISPONIBLE","Chiapas","above Finca Cuxtepec",15.722222,-92.980556,"Quercus",NA,"cortesii",675,"no"
1991,11,7,"Steep slope along ridge","Chiapas","Ridge S of cerro Baúl",16.716667,-93.716667,"Quercus",NA,"elliptica",690,"no"
1945,4,21,"Disturbed forest on limestone hills","Chiapas","5 km S of San Cristóbal de Las Casas",16.697222,-92.602778,"Quercus",NA,"crispipilis",1100,"no"
1965,1,25,"Slope","Chiapas","2 km NW of Pueblo Nuevo Solistahuacán",17.176389,-92.901389,"Quercus",NA,"segoviensis",870,"no"
1986,11,6,"Steep slope","Chiapas","1.5 km SW Ojo de Agua along road from El Rosario to Niquivil",15.318056,-92.288889,"Quercus",NA,"elliptica",837.5,"no"
1972,9,23,"Steep slope","Chiapas","10 km SW of Ocosingo along road to San Cristóbal de Las Casas",16.833333,-92.108333,"Quercus",NA,"acutifolia",650,"no"
1986,11,7,"Steep slope","Chiapas","NE of Cerro Boquerón on road from El Rosario to Niquivil",15.243056,-92.319444,"Quercus",NA,"laurina",1150,"no"
1988,5,31,"Steep ridge","Chiapas","EL ROSARIO",15.325,-92.295833,"Quercus",NA,"insignis",800,"insignis"
1983,11,18,"ravine","Chiapas","NE side of cerro Tres Picos near Tres Picos",16.233333,-93.586111,"Quercus",NA,"xalapensis",500,"no"
1981,9,30,"Slope","Chiapas","On road from La Soledad to Mormón and San Quintín",16.365278,-91.615278,"Quercus",NA,"polymorpha",650,"no"
1965,1,26,"Dense woodland","Chiapas","18 km NE La Trinitaria, along road to Lagos de Montebello",16.133333,-91.883333,"Quercus",NA,"crispipilis",885,"no"
1980,12,12,"Stream bank with slopes","Chiapas","Vicente Guerrero",16.051389,-92.972222,"Quercus",NA,"acutifolia",300,"no"
1976,8,18,"Slope","Chiapas","Along road from Zinacantán to Ixtapa, near Vo'bits",16.788889,-92.819444,"Quercus",NA,"peduncularis",700,"no"
1976,12,14,"Steep slope","Chiapas","Near Ojo de Agua, along road from Toliman to Niquivil",15.305556,-92.295833,"Quercus",NA,"castanea",1000,"no"
1988,5,24,"Slope","Chiapas","Cinco Lagunas, Lagos de Montebello",16.097222,-91.666667,"Quercus",NA,"benthamii",800,"no"
1976,10,24,"Broad ridge","Chiapas","Third ridge along logging road from Las Margaritas to Campo Alegre",16.491667,-91.809722,"Quercus",NA,"bumelioides",1150,"bumelioides"
1968,4,24,"Moist gradual slope","Chiapas","Mahosik'",16.913889,-92.469444,"Quercus",NA,"sapotifolia",650,"no"
1972,2,9,"Steep slope","Chiapas","E base of cerro Tres Picos, ca. cerro Bola on logging road to Agrónomos Mexicanos",16.183333,-93.586111,"Quercus",NA,"segoviensis",800,"no"
1986,11,7,"Steep slope","Chiapas","NE of Cerro Boquerón on road from El Rosario to Niquivil",15.243056,-92.319444,"Quercus",NA,"laurina",1150,"no"
1986,10,21,"Sandstone slope","Chiapas","Near Escopetazo",16.755556,-92.930556,"Quercus",NA,"elliptica",600,"no"
1981,4,11,"Steep slope","Chiapas","5 km S of Aguacatenango along road to Pinola Las Rosas",16.4375,-92.405556,"Quercus",NA,"segoviensis",900,"no"
1965,7,26,"Slope","Chiapas","27 km E La Trinitaria along road to Montebello",16.113889,-91.822222,"Quercus",NA,"peduncularis",750,"no"
1981,9,14,"Ridge","Chiapas","23 km W of Las Cruces along road to La Mina microwave station",16.463889,-94.022222,"Quercus",NA,"",450,"no"
1981,7,3,"Broad ridge","Chiapas","Third ridge along logging road from Las Margaritas to Campo Alegre",16.491667,-91.809722,"Quercus",NA,"bumelioides",1150,"bumelioides"
1964,8,5,"Slope","Chiapas","W of Tenejapa center along trail to Paraíso",16.808333,-92.5,"Quercus",NA,"crassifolia",1100,"no"
1988,10,21,"Slope","Chiapas","Above Coapilla on road to Pantepec",17.184722,-93.147222,"Quercus",NA,"benthamii",950,"no"
1988,5,10,"Canyons and ridges","Chiapas","NE slope of cerro Venado above Finca Cuxtepeques",15.719444,-92.980556,"Quercus",NA,"vicentensis",750,"no"
1988,5,21,"Ridge","Chiapas","N of Coapilla towards Ocotepec and Tapalapa",17.151389,-93.156944,"Quercus",NA,"benthamii",850,"no"
1986,11,7,"Steep slope on ridge","Chiapas","NE of Cerro Boquerón on road from El Rosario to Niquivil",15.243056,-92.319444,"Quercus",NA,"laurina",1150,"no"
1986,11,7,"Steep slope","Chiapas","NE of Cerro Boquerón on road from El Rosario to Niquivil",15.243056,-92.319444,"Quercus",NA,"benthamii",1150,"no"
1965,10,13,"Steep slope","Chiapas","5 km S of Aguacatenango along road to Pinola Las Rosas",16.4375,-92.405556,"Quercus",NA,"polymorpha",900,"no"
1964,12,12,"Steep grassy slope near schoolhouse","Chiapas","Toh Tik along the road to Chenalhó",16.847222,-92.644444,"Quercus",NA,"crispipilis",1000,"no"
1986,11,4,"Steep slope","Chiapas","5 km W of Motozintla on road to Huixtla",15.331944,-92.266667,"Quercus",NA,"segoviensis",880,"no"
1986,11,5,"Ridge","Chiapas","7 km SW of El Rosario along road to Ojo de Agua and Niquivil",15.3,-92.297222,"Quercus",NA,"sapotifolia",885,"no"
1986,11,7,"Steep slope","Chiapas","NE of Cerro Boquerón on road from El Rosario to Niquivil",15.243056,-92.319444,"Quercus",NA,"salicifolia",1150,"no"
1986,11,5,"Ridge","Chiapas","7 km SW of El Rosario along road to Ojo de Agua and Niquivil",15.3,-92.297222,"Quercus",NA,"vicentensis",885,"no"
1986,11,6,"Steep slope","Chiapas","1.5 km SW Ojo de Agua along road from El Rosario to Niquivil",15.318056,-92.288889,"Quercus",NA,"sapotifolia",837.5,"no"
1964,11,17,"Slope","Chiapas","3 km N of hwy 190 along the old road to Huistán",16.673611,-92.522222,"Quercus",NA,"rugosa",1150,"no"
1991,11,7,"Steep slope along ridge","Chiapas","Ridge S of cerro Baúl",16.716667,-93.716667,"Quercus",NA,"sapotifolia",690,"no"
1965,5,28,"Steep slope","Chiapas","5 km S of Aguacatenango along road to Pinola Las Rosas",16.4375,-92.405556,"Quercus",NA,"polymorpha",900,"no"
1976,10,24,"Slope","Chiapas","8 km NNE of La Soledad along logging road from Las Margaritas to Campo Alegre",16.527778,-91.801389,"Quercus",NA,"crispipilis",800,"no"
1965,7,12,"Steep slope","Chiapas","Along road to San Cristóbal de las Casas above Tenejapa Center",16.813889,-92.502778,"Quercus",NA,"skutchii",1100,"no"
1988,11,NA,"Slopes near crest of ridge","Chiapas","30 km ESE of Tierra y Libertad on road to Agrónomos Mexicanos",16.383333,-93.783333,"Quercus",NA,"",585,"no"
1986,11,5,"Ridge","Chiapas","7 km SW of El Rosario along road to Ojo de Agua and Niquivil",15.3,-92.297222,"Quercus",NA,"vicentensis",885,"no"
1965,10,3,"Steep slope","Chiapas","Along trail from Tenejapa Center to San Antonio",16.816667,-92.5,"Quercus",NA,"crassifolia",1100,"no"
1986,11,7,"Steep slope on ridge","Chiapas","NE of Cerro Boquerón on road from El Rosario to Niquivil",15.243056,-92.319444,"Quercus",NA,"crassifolia",1150,"no"
