"year","month","day","habitat","stateProvince","locality","decimalLatitude","decimalLongitude","scientificName","genus","subgenus","specificEpithet","elevation"
1866,9,2,"","Chiapas","",16.72601,-93.11746,"Quercus candicans Née","Quercus",NA,"candicans",NA
1844,11,1,"","Oaxaca","",17.76491,-97.39707,"Quercus candicans Née","Quercus",NA,"candicans",NA
1988,5,21,"","Chiapas","",17.15523,-93.1463,"Quercus benthamii A.DC.","Quercus",NA,"benthamii",NA
1988,5,31,"","Chiapas","",17.80583,-92.09972,"Quercus benthamii A.DC.","Quercus",NA,"benthamii",NA
NA,NA,NA,"","Oaxaca","",17.23458,-96.42652,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
1995,4,NA,"","Oaxaca","Dto. Mixe, Ultimo punto del camino a Quetzaltepec, 2.5 km Al ESE de San Pedro",16.94861,-95.82306,"Quercus corrugata Hook.","Quercus",NA,"corrugata",1440
1986,5,31,"","Oaxaca","Dro. Mixe, First summit of mountain above (SE of) Ayutla",17.01667,-96.06667,"Quercus glabrescens Benth.","Quercus",NA,"glabrescens",2760
NA,NA,NA,"","Chiapas","Along trail to E from high point on road between Finca Liquidambar and Nueva",15.66667,-92.73333,"Quercus cortesii Liebm.","Quercus",NA,"cortesii",2500
1995,9,NA,"","Chiapas","Km 33.9 de la carr. Escopetazo-Bochil",16.97222,-92.91389,"Quercus polymorpha Schltdl. & Cham.","Quercus",NA,"polymorpha",1600
1994,7,NA,"","Chiapas","Domingo Chanona a Ocoz. 3 km del Lim Ocoz.-Villa Flores",16.50083,-93.45611,"Quercus conspersa Benth.","Quercus",NA,"conspersa",1050
1995,10,NA,"","Chiapas","Km 20 de la carr. Comitan-Soyatitan",16.29167,-92.22056,"Quercus conspersa Benth.","Quercus",NA,"conspersa",1900
1990,2,NA,"","Chiapas","Road from El Rosario to Cerro Boqueron, 2 km South of Ojo de Agua",15.28333,-92.35,"Quercus vicentensis Trel.","Quercus",NA,"vicentensis",1750
1990,2,NA,"","Chiapas","Road from El Rosario to Cerro Boqueron, 2 km South of Ojo de Agua",15.28333,-92.35,"Quercus sapotifolia Liebm.","Quercus",NA,"sapotifolia",1750
1995,5,NA,"","Chiapas","Nahotic, 1.7 km al Suroriente de Chilil",16.80139,-92.53028,"Quercus rugosa Née","Quercus",NA,"rugosa",2275
1995,3,NA,"","Chiapas","3.2 km al S de Col. Juncana",16.115,-91.91667,"Quercus polymorpha Schltdl. & Cham.","Quercus",NA,"polymorpha",1700
1992,9,NA,"","Oaxaca","Agua El Toro, al SE de San Miguel Suchixtepec, Dto. Miahuatlan",16.2,-95.95,"Quercus glabrescens Benth.","Quercus",NA,"glabrescens",1700
1984,10,30,"","Oaxaca","1 km al N de Congregacion Benito Juarez, ca. del Rio Portamonedas, ca. 39 km  en",16.725,-94.14167,"Quercus conspersa Benth.","Quercus",NA,"conspersa",900
1987,11,NA,"","Oaxaca","Dto. Juchitan, 28.3 km al E de Rodolfo Figueroa, camio a Trebol o Benito Juarez,",16.71667,-94.13333,"Quercus conspersa Benth.","Quercus",NA,"conspersa",NA
1986,5,31,"","Oaxaca","2.7 mi from center of San Mateo Cajonos on road to Villa Hidalgo Yalalag",17.16667,-96.2,"Quercus conspersa Benth.","Quercus",NA,"conspersa",1120
1987,5,31,"","Chiapas","Just East of Motozintla",15.33333,-92.2,"Quercus conspersa Benth.","Quercus",NA,"conspersa",1600
1978,5,20,"Pine-oak forest. (Bosque de pino-encino).","Oaxaca","Tlacuache",17.9,-97.46666,"Quercus magnoliifolia Née","Quercus",NA,"magnoliifolia",1.98
2001,10,1,"Bosque mesófilo de montaña. Area de vegetación perturbada.","Oaxaca","Brecha de San Antonio Eloxochitlan a San José Buenavista. Adelante del segundo puente",18.17806,-96.85822,"Quercus polymorpha Schltdl. & Cham.","Quercus",NA,"polymorpha",1320
2001,7,6,"Bosque de Quercus. Por la vereda.","Oaxaca","Vereda (antiguo camino real) del Plan de Guadalupe al Cerro Pelón",18.1355,-96.96339,"Quercus ocoteaefolia","Quercus",NA,"ocoteaefolia",2450
2001,6,6,"Bosque mesofilo de montaña. Vegetación secondaria derivada de bosque mesófilo de montaña.","Oaxaca","Vereda que parte de la cueva del Puente de Fierro y sube por la ladera E del cañada, en dirección a Sta. María Chilchotla",18.15344,-96.84972,"Quercus sartorii Botteri ex A.DC.","Quercus",NA,"sartorii",1250
2002,7,30,"","San Marcos","",15.25,-91.7,"Quercus tristis Liebm.","Quercus",NA,"tristis",2050
2002,7,30,"","San Marcos","",15.25,-91.7,"Quercus tristis Liebm.","Quercus",NA,"tristis",2050
2002,7,27,"","San Marcos","San Miguel",15.25,-91.75,"Quercus tristis Liebm.","Quercus",NA,"tristis",2050
2020,10,18,"","Oaxaca","",17.608002,-97.259999,"Quercus greggii (A.DC.) Trel.","Quercus",NA,"greggii",NA
2023,1,1,"","Oaxaca","",16.290505,-96.646706,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",NA
2015,3,20,"","Peten","Santa Elena",16.910007,-89.867828,"Quercus oleoides Schltdl. & Cham.","Quercus",NA,"oleoides",161
2015,6,15,"","Peten","Finca Candelaria",16.41936,-89.41695,"Quercus skinneri Benth.","Quercus",NA,"skinneri",468
2006,6,13,"","San Marcos","",15.240197,-91.689897,"Quercus purulhana Trel.","Quercus",NA,"purulhana",1900
2021,10,19,"","Peten","Parque Regional Municipal Saculhá, Sacul arriba",16.49485,-89.27244,"Quercus insignis M.Martens & Galeotti","Quercus",NA,"insignis",570
2021,10,19,"","Peten","Parque Regional Municipal Saculhá, Sacul arriba",16.49982,-89.271,"Quercus insignis M.Martens & Galeotti","Quercus",NA,"insignis",628
2022,12,7,"","Chiapas","",16.683319,-92.593302,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2022,4,2,"","Oaxaca","",16.294296,-96.636009,"Quercus crassifolia Bonpl.","Quercus",NA,"crassifolia",NA
2022,11,15,"","Oaxaca","",16.420691,-96.467064,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2022,11,8,"","Chiapas","",16.714745,-92.658231,"Quercus acatenangensis Trel.","Quercus",NA,"acatenangensis",NA
2022,11,10,"","Chiapas","",16.70636,-92.619375,"Quercus ×dysophylla Benth.","Quercus",NA,"dysophylla",NA
2022,11,8,"","Chiapas","",16.716225,-92.659261,"Quercus acatenangensis Trel.","Quercus",NA,"acatenangensis",NA
2022,11,2,"","Chiapas","",16.807489,-92.845035,"Quercus sapotifolia Liebm.","Quercus",NA,"sapotifolia",NA
2022,11,2,"","Chiapas","",16.806676,-92.847095,"Quercus polymorpha Schltdl. & Cham.","Quercus",NA,"polymorpha",NA
2022,11,4,"","Chiapas","",16.724165,-92.69672,"Quercus ×dysophylla Benth.","Quercus",NA,"dysophylla",NA
2022,10,24,"","Oaxaca","",17.152158,-96.731417,"Quercus castanea Née","Quercus",NA,"castanea",NA
2022,10,10,"","Oaxaca","",17.090772,-96.726639,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",NA
2022,10,24,"","Chiapas","",16.735281,-92.620708,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2022,10,20,"","Chiapas","",16.827871,-93.107031,"Quercus sebifera Trel.","Quercus",NA,"sebifera",NA
2022,10,12,"","Chiapas","",16.706906,-92.615704,"Quercus ×dysophylla Benth.","Quercus",NA,"dysophylla",NA
2021,9,5,"","Oaxaca","",17.090772,-96.726639,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",NA
2022,9,22,"","Chiapas","",16.264811,-93.620903,"Quercus segoviensis Liebm.","Quercus",NA,"segoviensis",NA
2022,10,2,"","Chiapas","",16.731842,-92.661212,"Quercus crassifolia Bonpl.","Quercus",NA,"crassifolia",NA
2022,10,2,"","Chiapas","",16.731645,-92.661695,"Quercus crassifolia Bonpl.","Quercus",NA,"crassifolia",NA
2021,5,29,"","Chiapas","",16.381533,-93.216832,"Quercus peduncularis Née","Quercus",NA,"peduncularis",NA
2022,9,5,"","Chiapas","",16.238333,-92.151667,"Quercus segoviensis Liebm.","Quercus",NA,"segoviensis",NA
2022,8,29,"","Chiapas","",16.775794,-92.500997,"Quercus calophylla Schltdl. & Cham.","Quercus",NA,"calophylla",NA
2022,8,29,"","Chiapas","",16.68488,-92.485089,"Quercus insignis M.Martens & Galeotti","Quercus",NA,"insignis",NA
2022,8,21,"","Chiapas","",16.737036,-92.637619,"Quercus seemannii Liebm.","Quercus",NA,"seemannii",NA
2022,8,21,"","Chiapas","",16.737036,-92.637619,"Quercus crassifolia Bonpl.","Quercus",NA,"crassifolia",NA
2022,8,16,"","Chiapas","",16.70641,-92.615771,"Quercus ×dysophylla Benth.","Quercus",NA,"dysophylla",NA
2020,10,10,"","Oaxaca","",17.489537,-97.388718,"Quercus obtusata Bonpl.","Quercus",NA,"obtusata",NA
2020,11,30,"","Oaxaca","",17.572957,-97.371376,"Quercus laurina Bonpl.","Quercus",NA,"laurina",NA
2020,10,10,"","Oaxaca","",17.552286,-97.269417,"Quercus acutifolia Née","Quercus",NA,"acutifolia",NA
2020,10,10,"","Oaxaca","",17.483454,-97.375348,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",NA
2022,6,22,"","Oaxaca","",17.844594,-96.892902,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2020,10,2,"","Oaxaca","",17.486448,-97.388145,"Quercus castanea Née","Quercus",NA,"castanea",NA
2015,3,20,"","Peten","Santa Elena",16.910007,-89.867828,"Quercus oleoides Schltdl. & Cham.","Quercus",NA,"oleoides",161
2015,3,23,"","Peten","Carretera a la Ponderosa",16.896006,-89.811582,"Quercus oleoides Schltdl. & Cham.","Quercus",NA,"oleoides",155
2015,3,21,"","Peten","Finca Santa Isabel",16.72027,-89.77298,"Quercus oleoides Schltdl. & Cham.","Quercus",NA,"oleoides",181
2015,3,22,"","Peten","Carretera a Santa Ana",16.89956,-89.81545,"Quercus oleoides Schltdl. & Cham.","Quercus",NA,"oleoides",186
2015,3,20,"","Peten","Santa Elena",16.910007,-89.867828,"Quercus oleoides Schltdl. & Cham.","Quercus",NA,"oleoides",NA
2015,3,21,"","Peten","Finca Santa Isabel",16.720278,-89.772986,"Quercus oleoides Schltdl. & Cham.","Quercus",NA,"oleoides",181
2011,5,5,"","Oaxaca","Distrito: Miahuatlán, Municipio: San Juan Ozolotepec.",16.1233,-96.2664,"Quercus ocoteifolia Liebm.","Quercus",NA,"ocoteifolia",1970
1998,12,2,"","Oaxaca","Distrito: Juchitán, Municipio: Santa María Chimalapa. Camino a Punta Quetzal, por las cascadas, Benito Juárez, Zona Oriente, Chimalapas.",16.7211,-94.1878,"Quercus conspersa Benth.","Quercus",NA,"conspersa",1325
2000,3,5,"","Oaxaca","Distrito: Miahuatlán, Municipio: San Juan Ozolotepec. 5.8Km al S de Rancho Conejo (San Pedro Mixtepec) y 10.3Km al N de San Juan Ozolotepec.",16.1591,-96.2448,"Quercus ocoteaefolia","Quercus",NA,"ocoteaefolia",3010
2001,11,5,"","Oaxaca","Distrito: Ixtlán, Municipio: San Pedro Yolox. 2.67 km al SW de El Carrizal, Yolox, ladera Sur.",17.5333,-96.6588,"Quercus polymorpha Schltdl. & Cham.","Quercus",NA,"polymorpha",1507
2018,6,29,"","Oaxaca","",17.670423,-97.263632,"Quercus greggii (A.DC.) Trel.","Quercus",NA,"greggii",NA
2012,11,27,"","Oaxaca","",17.547905,-98.040563,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",NA
2012,11,14,"","Oaxaca","",17.517788,-97.88921,"Quercus magnoliifolia Née","Quercus",NA,"magnoliifolia",NA
2019,11,9,"","Oaxaca","",17.60786,-97.256467,"Quercus crassipes Bonpl.","Quercus",NA,"crassipes",NA
2012,11,16,"","Oaxaca","",17.558645,-97.875933,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2022,5,5,"","Oaxaca","",17.276154,-96.369716,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2022,3,11,"","Oaxaca","",17.276154,-96.369716,"Quercus glabrescens Benth.","Quercus",NA,"glabrescens",NA
2022,5,5,"","Oaxaca","",17.276154,-96.369716,"Quercus laurina Bonpl.","Quercus",NA,"laurina",NA
2022,5,26,"","Chiapas","",16.833602,-92.680288,"Quercus crassifolia Bonpl.","Quercus",NA,"crassifolia",NA
2022,5,26,"","Chiapas","",16.833602,-92.680288,"Quercus calophylla Schltdl. & Cham.","Quercus",NA,"calophylla",NA
2022,5,28,"","Chiapas","",16.737036,-92.637619,"Quercus sebifera Trel.","Quercus",NA,"sebifera",NA
2022,5,26,"","Chiapas","",16.833602,-92.680288,"Quercus ×dysophylla Benth.","Quercus",NA,"dysophylla",NA
2022,5,26,"","Chiapas","",16.833602,-92.680288,"Quercus ocoteifolia Liebm.","Quercus",NA,"ocoteifolia",NA
2022,5,17,"","Chiapas","",16.487581,-92.558126,"Quercus sebifera Trel.","Quercus",NA,"sebifera",NA
2022,5,17,"","Chiapas","",16.486429,-92.55943,"Quercus crispipilis Trel.","Quercus",NA,"crispipilis",NA
2009,11,24,"","Chiapas","",16.36449,-92.095151,"Quercus segoviensis Liebm.","Quercus",NA,"segoviensis",NA
2022,5,14,"","Chiapas","",16.720088,-92.660135,"Quercus castanea Née","Quercus",NA,"castanea",NA
2022,5,15,"","Chiapas","",16.720088,-92.660135,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2022,5,14,"","Chiapas","",16.720088,-92.660135,"Quercus crispipilis Trel.","Quercus",NA,"crispipilis",NA
2022,5,15,"","Chiapas","",16.720088,-92.660135,"Quercus crassifolia Bonpl.","Quercus",NA,"crassifolia",NA
2022,4,30,"","Chiapas","",16.733486,-92.604202,"Quercus segoviensis Liebm.","Quercus",NA,"segoviensis",NA
2022,4,30,"","Chiapas","",16.683058,-92.602036,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2022,5,1,"","Chiapas","",16.73205,-92.603531,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2022,4,30,"","Chiapas","",16.734379,-92.602951,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2022,4,30,"","Chiapas","",16.681305,-92.599586,"Quercus ocoteifolia Liebm.","Quercus",NA,"ocoteifolia",NA
2022,4,30,"","Chiapas","",16.681987,-92.600412,"Quercus crispipilis Trel.","Quercus",NA,"crispipilis",NA
2022,4,30,"","Chiapas","",16.682949,-92.604529,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2022,5,7,"","Chiapas","",16.720088,-92.660135,"Quercus sebifera Trel.","Quercus",NA,"sebifera",NA
2022,4,30,"","Chiapas","",16.681734,-92.600273,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2022,5,7,"","Chiapas","",16.720088,-92.660135,"Quercus crassifolia Bonpl.","Quercus",NA,"crassifolia",NA
2022,4,7,"","Chiapas","",16.72086,-92.659426,"Quercus sebifera Trel.","Quercus",NA,"sebifera",NA
2022,3,24,"","Chiapas","",16.705522,-92.614652,"Quercus sebifera Trel.","Quercus",NA,"sebifera",NA
2022,3,21,"","Oaxaca","",17.080167,-96.883163,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2022,4,6,"","Chiapas","",16.660355,-92.696545,"Quercus insignis M.Martens & Galeotti","Quercus",NA,"insignis",NA
2022,4,6,"","Chiapas","",16.705448,-92.614613,"Quercus sebifera Trel.","Quercus",NA,"sebifera",NA
2004,3,24,"Bosque de Quercus-Liquidambar","Chiapas","Ejido Tierra y Libertad",16.231944,-93.870833,"Quercus elliptica Née","Quercus",NA,"elliptica",1400
2004,7,7,"","Chiapas","Municipio Villaflores. Bosque de Quercus. Árbol de 7 m con fruto verde.",16.232262,-93.274526,"Quercus peduncularis Née","Quercus",NA,"peduncularis",1033
2020,9,6,"","Oaxaca","",17.842485,-97.227468,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",NA
2020,10,9,"","Oaxaca","",17.488673,-97.38839,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2021,11,27,"","Oaxaca","",17.046725,-97.620699,"Quercus obtusata Bonpl.","Quercus",NA,"obtusata",NA
2022,1,21,"","Oaxaca","",17.084576,-96.737349,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",NA
2004,7,17,"","Chiapas","Reserva de la Biosfera La Sepultura",16.327778,-93.578056,"Quercus peduncularis Née","Quercus",NA,"peduncularis",600
2004,3,22,"","Chiapas","Ejido Tierra y Libertad",16.24272,-93.69703,"Quercus elliptica Née","Quercus",NA,"elliptica",1920
2004,7,11,"","Chiapas","6 km al oeste de Los Veg",18.248333,-93.686389,"Quercus peduncularis Née","Quercus",NA,"peduncularis",1082
2004,3,22,"","Chiapas","Ejido Tierra y Libertad",16.374722,-93.8425,"Quercus conspersa Benth.","Quercus",NA,"conspersa",1920
2004,7,8,"","Chiapas","Rancho La Cabaña",16.383333,-93.967222,"Quercus peduncularis Née","Quercus",NA,"peduncularis",950
2004,7,13,"","Chiapas","Ejido Sierra Morena",16.145,-93.593611,"Quercus elliptica Née","Quercus",NA,"elliptica",1280
2021,12,27,"","Chiapas","",16.722313,-92.661086,"Quercus sebifera Trel.","Quercus",NA,"sebifera",NA
2021,12,25,"","Oaxaca","",17.651694,-97.263194,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2022,1,2,"","Oaxaca","",16.297776,-96.650623,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",NA
2021,12,28,"","Oaxaca","",17.094223,-97.768339,"Quercus acutifolia Née","Quercus",NA,"acutifolia",NA
2020,10,2,"","Oaxaca","",17.554851,-97.387554,"Quercus grahamii Benth.","Quercus",NA,"grahamii",NA
2022,1,2,"","Oaxaca","",16.300952,-96.649199,"Quercus grahamii Benth.","Quercus",NA,"grahamii",NA
2022,1,2,"","Oaxaca","",16.296931,-96.649275,"Quercus magnoliifolia Née","Quercus",NA,"magnoliifolia",NA
2022,1,2,"","Oaxaca","",16.298388,-96.650935,"Quercus grahamii Benth.","Quercus",NA,"grahamii",NA
2021,11,12,"","Chiapas","",16.658814,-92.601301,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2021,10,30,"","Oaxaca","",16.300798,-96.63117,"Quercus magnoliifolia Née","Quercus",NA,"magnoliifolia",NA
2021,10,29,"","Oaxaca","",16.303404,-96.639908,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",NA
2021,11,6,"","Chiapas","",16.759314,-92.632339,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2021,11,12,"","Chiapas","",16.658126,-92.601886,"Quercus castanea Née","Quercus",NA,"castanea",NA
2021,10,7,"","Chiapas","",16.981465,-93.02652,"Quercus purulhana Trel.","Quercus",NA,"purulhana",NA
2021,10,5,"","Chiapas","",16.653628,-92.549585,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2021,9,26,"","Chiapas","",16.720088,-92.660135,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2021,8,15,"","Oaxaca","",17.149703,-97.623812,"Quercus crassifolia Bonpl.","Quercus",NA,"crassifolia",NA
2021,9,26,"","Chiapas","",16.720088,-92.660135,"Quercus crassifolia Bonpl.","Quercus",NA,"crassifolia",NA
2021,9,16,"","Chiapas","",16.720088,-92.660135,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
2021,8,31,"","Oaxaca","",17.025278,-96.6825,"Quercus glaucoides M.Martens & Galeotti","Quercus",NA,"glaucoides",NA
2020,10,10,"","Oaxaca","",17.046725,-97.620699,"Quercus laurina Bonpl.","Quercus",NA,"laurina",NA
2021,9,3,"","Chiapas","",16.714519,-92.664539,"Quercus acatenangensis Trel.","Quercus",NA,"acatenangensis",NA
2021,9,2,"","Chiapas","",16.732613,-92.646881,"Quercus ×dysophylla Benth.","Quercus",NA,"dysophylla",NA
2021,8,15,"","Chiapas","",16.719325,-92.660639,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
1968,8,4,"","Oaxaca","3.5 km south-southwest of de magdalena jicotlan",17.80658,-97.47017,"Quercus castanea Née","Quercus",NA,"castanea",NA
2021,8,14,"","Oaxaca","",16.26726,-96.663939,"Quercus conzattii Trel.","Quercus",NA,"conzattii",NA
2021,7,27,"","Chiapas","",16.720088,-92.660135,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
NA,NA,NA,"","Oaxaca","24 km NW Totolapan",16.766667,-96.3,"Quercus L.","Quercus",NA,"",NA
1987,5,5,"Lower slope","Chiapas","On incomplete road on hills above Unión Juárez",15.095833,-92.084722,"Quercus lancifolia Schltdl. & Cham.","Quercus",NA,"lancifolia",950
1970,6,21,"NO DISPONIBLE","Chiapas","Between San Cristóbal de Las Casas and Tzontehuitz, 10 km NE from San Cristóbal de Las Casas",16.766667,-92.583333,"Quercus rugosa Née","Quercus",NA,"rugosa",1500
1988,5,3,"Ridge","Chiapas","SE slope of cerro Baúl",16.716667,-93.716667,"Quercus scytophylla Liebm.","Quercus",NA,"scytophylla",925
1986,12,9,"Slope","Chiapas","8 km NE of La Soledad along road from Las Margaritas to Campo Alegre",16.527778,-91.801389,"Quercus segoviensis Liebm.","Quercus",NA,"segoviensis",800
1976,8,3,"Steep canyon","Chiapas","Below Navenchauc",16.722222,-92.786111,"Quercus segoviensis Liebm.","Quercus",NA,"segoviensis",1100
1964,7,14,"Slope","Chiapas","Mahben Chauk, above Habenal along the Ala Shashib river",16.883333,-92.466667,"Quercus peduncularis Née","Quercus",NA,"peduncularis",530
1971,9,9,"Riparian woods","Chiapas","9 km N of Jitotol",17.116667,-92.866667,"Quercus polymorpha Schltdl. & Cham.","Quercus",NA,"polymorpha",850
1988,6,7,"Streambank","Chiapas","5 km SW of Jitotol",17.038889,-92.875,"Quercus insignis M.Martens & Galeotti","Quercus",NA,"insignis",850
1984,12,27,"BOSQUE PERTURBADO","Chiapas","58 km al SE de San Cristóbal de Las Casas y 23 km al SSE de Teopisca sobre carr. 190",16.461111,-92.283333,"Quercus crispipilis Trel.","Quercus",NA,"crispipilis",1050
1982,2,25,"Ridge","Chiapas","Above Rayón along road to Pantepec and Tapalapa",17.1875,-93.052778,"Quercus lancifolia Schltdl. & Cham.","Quercus",NA,"lancifolia",775
1983,11,19,"Ridge","Chiapas","Just N of Finca Cuxtepec",15.747222,-92.966667,"Quercus sapotifolia Liebm.","Quercus",NA,"sapotifolia",650
1976,11,15,"Moist slope","Chiapas","Near Chalchihuitán center",16.963889,-92.618056,"Quercus peduncularis Née","Quercus",NA,"peduncularis",725
1988,5,21,"Ridge","Chiapas","N of Coapilla towards Ocotepec and Tapalapa",17.151389,-93.156944,"Quercus cortesii Liebm.","Quercus",NA,"cortesii",850
1971,12,11,"Large pond close to marsh","Chiapas","E side of Pueblo Nuevo Solistahuacán",17.163889,-92.886111,"Quercus sapotifolia Liebm.","Quercus",NA,"sapotifolia",850
